Department,Number,Size,Grade
AEM,2300,291,B+
ORIE,3510,109,B-
HIST,1531,27,B+
ENGL,2040,38,A-
ARTH,2200,21,B
ASIAN,2250,111,A-
ENGRD,2100,68,B+
NSE,4840,51,B+
ENGRD,2300,53,B+
FGSS,2020,25,B+
DEA,1500,171,A
ENGRI,1200,33,A
CS,4740,50,A-
NES,2629,55,A-
EAS,4870,19,B+
CS,3220,46,B
ENGRI,1260,46,A-
AIS,1110,50,A-
ASIAN,2202,26,A
VISST,2000,37,A-
FDSC,1104,80,B
AEM,2100,291,B
ILRST,2100,215,A-
ECE,2980,51,B+
NES,3697,112,A-
ASIAN,3359,17,A
ASIAN,3336,82,A-
HADM,4481,10,B+
HORT,4554,16,B
COMM,4500,24,A
HIST,1960,38,A-
SOC,2650,108,A-
STS,4071,37,A-
ENGL,3751,47,A
BIOAP,4750,24,A
BIOAP,4890,20,A-
AEM,3230,240,A-
HADM,2221,121,B+
MSE,1140,21,A-
FGSS,3590,31,B+
PLPA,3290,39,B+
ASIAN,2277,104,B+
PLPA,4161,10,A-
GOVT,3463,12,B+
BEE,3600,46,B+
HE,4700,1,A
BTRY,4100,15,A+
ANTHR,3420,36,B+
ECON,2040,424,A
COMM,3200,120,B+
COML,4260,14,B
CS,4220,24,B+
NS,3150,180,A-
CS,2110,137,B+
MUSIC,2241,18,A-
HIST,2330,15,A-
HE,4800,11,A
BIOMS,4040,38,A-
SPAN,2200,28,B+
PHYS,2217,48,B+
PHYS,1204,28,A-
NES,4727,12,A
GOVT,4998,32,A
GOVT,3735,52,B
GERST,3550,96,A
DSOC,2010,59,B+
AEM,4551,19,A
BIONB,4910,29,A
ARTH,4100,14,A-
PSYCH,3470,25,A
PSYCH,2150,99,B
COMM,4660,13,A-
COML,3735,10,A-
CHIN,4406,10,A-
HIST,2461,11,B+
HIST,2410,55,A-
HIST,4851,19,A
HIST,3731,25,A-
PHIL,2530,18,B
PAM,2150,14,B+
CRP,4440,16,B-
CS,4758,47,B+
ARTH,3300,10,A
HIST,2820,37,A-
STS,4851,11,A-
PHIL,2860,59,A
HIST,3960,25,A-
ENGL,4750,15,A
ENGL,3270,29,A
HD,3570,64,A-
SOC,2208,185,B+
PHIL,2420,63,B+
SOC,3070,14,A-
NTRES,2201,80,B+
CSS,4660,12,A-
SPAN,3020,22,A
ECE,4980,53,A
GOVT,4374,11,A-
ENGL,3640,21,A-
AMST,2760,65,B+
ENGRI,1130,26,A
COMM,3650,41,B+
ASIAN,3309,11,A
THETR,4450,12,A-
HIST,2720,16,B
ENGL,2060,38,A
AEP,2520,25,B+
AMST,4301,15,A-
CLASS,3645,11,A-
GOVT,3181,49,B+
THETR,4320,10,A-
BTRY,4090,28,B+
ENGRD,2210,100,B
HD,2380,69,B
ASRC,4509,14,A
ASIAN,3386,17,B+
HIST,3140,61,B+
DSOC,3750,40,A-
FDSC,4300,32,A-
GOVT,4827,13,A
HORT,4553,22,A
PSYCH,3050,12,A-
SHUM,4931,10,A-
HORT,4440,12,A
CS,4302,48,A-
STS,2011,52,A
FDSC,4400,18,B+
FDSC,4600,13,B
FDSC,1105,28,A
ILRLE,4450,36,B+
